word_original,word_normalized,pos,count,tag1,tag2,tag3
vater,vater,NOUN,2475,Gender,Mask,
satz,satz,NOUN,2474,Sprache,,
treten,treten,VERB,2447,Position,,
heißen,heißen,VERB,2441,,,
zweck,zweck,NOUN,2420,Logik,,
jugend,jugend,NOUN,2405,Alter,,
gehören,gehören,VERB,2392,,,
gegenstand,gegenstand,NOUN,2360,Lehrmedien,,
bildung,bildung,NOUN,2349,Pädagogik,,
grund,grund,NOUN,2345,Logik,,
darstellung,darstellung,NOUN,2321,Poetologie,,
welt,welt,NOUN,2300,Welt,,
n,n,X,2291,,,
gieben,gieben,VERB,2270,,,
bild,bild,NOUN,2253,Ästhetik ,,
lektüre,lektüre,NOUN,2188,Praktik,Methode ,Poetologie
tag,tag,NOUN,2180,Zeit,,
charakter,charakter,NOUN,2176,Anthropologie,,
richtig,richtig,ADV,2151,positive Bewertung,,
poetisch,pötisch,ADV,2148,Beschreibung,Poetologie,
ausdruck,ausdruck,NOUN,2124,Sprache,,
fallen,fallen,VERB,2120,,,
inner,inner,NOUN,2107,Idealismus ,,
sache,sache,NOUN,2097,,,
lang,lang,ADV,2096,Höhe ,,
kunst,kunst,NOUN,2085,Ästhetik,,
verschieden,verschieden,ADV,2079,Position,,
fremd,fremd,ADV,2061,Alterität,,
endlich,endlich,ADV,2026,,,
bezeichnen,bezeichnen,VERB,2018,Praktik,Sprache,
wesen,wesen,NOUN,2008,Idealismus,,
könig,könig,NOUN,2005,Narrativ,,
folgen,folgen,VERB,1987,Disziplin,,
bedeutung,bedeutung,NOUN,1978,Poetologie,,
begreifen,begreifen,VERB,1973,Praktik,Idealismus,
besonder,besonder,ADV,1972,,,
übung,übung,NOUN,1929,Praktik,,
gewinnen,gewinnen,VERB,1928,,,
strophe,strophe,NOUN,1927,Poetologie,,
gymnasium,gymnasium,NOUN,1912,Schule,,
gefühl,gefühl,NOUN,1894,Emotion ,,
name,name,NOUN,1887,,,
wahr,wahr,ADV,1847,Höhe,Idealismus,positive Bewertung
haus,haus,NOUN,1847,Haus,,
lehren,lehren,VERB,1846,Pädagogik,,
bieten,bieten,VERB,1825,,,
geschehen,geschehen,VERB,1815,,,
lessing,lessing,X,1808,Person,Schriftsteller,
seele,seele,NOUN,1807,Idealismus,,
freund,freund,NOUN,1803,Typ,,
spät,spät,ADV,1799,Zeit,,
erkennen,erkennen,VERB,1799,Praktik,Idealismus,
lesebuch,lesebuch,NOUN,1791,Lehrmedien,,
geistig,geistig,ADV,1781,Idealismus ,,
erzählung,erzählung,NOUN,1778,Poetologie,Narrativ,
enthalten,enthalten,VERB,1774,Beschreibung,,
beziehung,beziehung,NOUN,1769,,,
handlung,handlung,NOUN,1763,Poetologie,Narrativ,
thema,thema,NOUN,1762,Praxis,,
namentlich,namentlich,ADV,1760,,,
held,held,NOUN,1735,Narrativ,,
historisch,historisch,ADV,1727,Geschichte ,,
sohn,sohn,NOUN,1724,Alter,Gender,Mask
schwer,schwer,ADV,1721,Bewertung,,
schrift,schrift,NOUN,1690,Poetologie,Sprache,
wesentlich,wesentlich,ADV,1680,positive Bewertung,,
kennen,kennen,VERB,1676,Idealismus,,
mutter,mutter,NOUN,1648,Gender,Form,
aufgabe,aufgabe,NOUN,1630,Praktik,,
fehlen,fehlen,VERB,1623,,,
lateinisch,lateinisch,ADV,1595,Sprachen,Klassik,
schließen,schließen,VERB,1593,Praktik,Logik ,
entwicklung,entwicklung,NOUN,1586,,,
lange,lange,ADV,1584,Zeit ,,
wert,wert,ADV,1582,positive Bewertung,,
verfasser,verfasser,NOUN,1568,Poetologie,,
reichen,reichen,VERB,1559,,,
schulen,schulen,NOUN,1548,Schule,,
kampf,kampf,NOUN,1548,Alterität,Agonalität,
verhältnis,verhältnis,NOUN,1530,Beschreibung,,
wahrheit,wahrheit,NOUN,1527,Höhe,Idealismus,
knabe,knabe,NOUN,1526,Alter,Gender,Mask
notwendig,notwendig,ADV,1521,Logik,,
erklären,erklären,VERB,1519,Praktik,Methode ,
reden,reden,VERB,1518,Praktik,Sprache,
arbeit,arbeit,NOUN,1504,Disziplin ,,
vielmehr,vielmehr,ADV,1501,Logik,,
freude,freude,NOUN,1496,Emotion ,,
treiben,treiben,VERB,1493,Disziplin,Praktik,
reich,reich,ADV,1487,Bewertung,Politik,
person,person,NOUN,1486,Person,,
hören,hören,VERB,1475,Ästhetik,Sinnlich,
schluß,schluß,NOUN,1468,,,
stunde,stunde,NOUN,1466,Schule,Zeit ,
drama,drama,NOUN,1439,Poetologie,Gattung,
aussprechen,aussprechen,VERB,1426,Sprache,Praktik,
fühlen,fühlen,VERB,1426,Emotion ,,
griechisch,griechisch,ADV,1413,Sprachen,Klassik,
menschlich,menschlich,ADV,1396,Anthropologie,,
verlangen,verlangen,VERB,1379,Disziplin,,
jahrhundert,jahrhundert,NOUN,1371,Zeit,,
sittlich,sittlich,ADV,1353,Moral,,
jüngling,jüngling,X,1350,Typ,Gender,Mask
stufe,stufe,NOUN,1337,Schule,Disziplin,
aufgeben,aufgeben,VERB,1320,Disziplin,Pädagogik,Schule
anschauung,anschauung,NOUN,1314,Idealismus,Ästhetik,
bestimmen,bestimmen,VERB,1312,Disziplin,,
mittel,mittel,NOUN,1295,Praktik,,
erreichen,erreichen,VERB,1290,,,
betrachten,betrachten,VERB,1283,Ästhetik,Körper,
lebendig,lebendig,ADV,1282,Welt,,
dienen,dienen,VERB,1282,Disziplin,,
kaiser,kaiser,NOUN,1280,Nation,Person,Narrativ
interesse,interesse,NOUN,1280,,,
dritt,dritt,NOUN,1278,,,
stimmen,stimmen,VERB,1277,Wissen,,
darstellen,darstellen,VERB,1275,Poetologie,Praktik,
ernst,ernst,ADV,1271,Bewertung,,
stark,stark,ADV,1262,Höhe ,,
urteil,urteil,NOUN,1255,Bewertung,,
behandlung,behandlung,NOUN,1237,Praktik ,,
wirken,wirken,VERB,1234,Ästhetik,Wirkung,
behandeln,behandeln,VERB,1233,Praktik ,,
erscheinung,erscheinung,NOUN,1231,Idealismus,Ästhetik,
phantasie,phantasie,NOUN,1225,Phantasie,Ästhetik,Idealismus
erheben,erheben,VERB,1218,Höhe,,
gewöhnlich,gewöhnlich,ADV,1215,Bewertung,,
bemerken,bemerken,VERB,1209,Praktik ,,
gegensatz,gegensatz,NOUN,1209,Logik,,
gesang,gesang,NOUN,1206,Poetologie,Gattung,
licht,licht,NOUN,1206,,,
gesetz,gesetz,NOUN,1202,Politik,,
klassisch,klassisch,ADV,1199,Klassik,Bewertung,
äußern,äußern,VERB,1198,,,
schlagen,schlagen,VERB,1194,Agonalität,,
beispiel,beispiel,NOUN,1189,Methode ,,
erklärung,erklärung,NOUN,1189,Methode,Praktik,
verständnis,verständnis,NOUN,1178,Idealismus,Praktik,
fassen,fassen,VERB,1174,Idealismus,,
vorstellung,vorstellung,NOUN,1169,Idealismus,,
grammatik,grammatik,NOUN,1167,Sprache,,
glück,glück,NOUN,1162,positive Bewertung,,
muttersprache,muttersprache,NOUN,1154,Sprache ,,
leser,leser,NOUN,1153,Poetologie,Rezeption,Lesen
idee,idee,NOUN,1144,Idealismus,,
methode,methode,NOUN,1140,Methode,,
himmel,himmel,NOUN,1134,Theologie,,
freiheit,freiheit,NOUN,1127,Idealismus,Politik,
wirkung,wirkung,NOUN,1121,Ästhetik,Wirkung,
still,still,ADV,1120,Tiefe,,
unmittelbar,unmittelbar,ADV,1119,Beschreibung,,
zürst,zürst,VERB,1118,,,
glücklich,glücklich,ADV,1118,Emotion ,,
empfindung,empfindung,NOUN,1113,Emotion ,,
handeln,handeln,VERB,1111,,,
theilen,theilen,VERB,1109,,,
deutschland,deutschland,PROPN,1103,Nation,Deutsch,
bemerkung,bemerkung,NOUN,1102,Praktik ,,
streng,streng,ADV,1098,Bewertung,,
zusammenhang,zusammenhang,NOUN,1098,,,
verlieren,verlieren,VERB,1094,,,
hervor,hervor,ADV,1088,Beschreibung ,,
pflegen,pflegen,VERB,1086,,,
betrachtung,betrachtung,NOUN,1084,Ästhetik,Sinnlich,
erzählen,erzählen,VERB,1079,Poetologie,Narrativ,
wünschen,wünschen,VERB,1068,,,
grammatisch,grammatisch,ADV,1055,Sprache,,
ästhetisch,ästhetisch,ADV,1040,Ästhetik ,,
fabel,fabel,NOUN,1036,Gattung ,Poetologie,
erde,erde,NOUN,1035,Welt,,
stadt,stadt,NOUN,1034,Ort,,
dramatisch,dramatisch,ADV,1029,Gattung ,,
national,national,ADV,1024,Nation ,,
bewußtsein,bewußtsein,NOUN,1016,Idealismus,,
uhland,uhland,VERB,1013,Person,Schriftsteller,
schaffen,schaffen,VERB,1011,positive Bewertung,Praktik,
wissenschaft,wissenschaft,NOUN,1008,Wissenschaft,,
heilig,heilig,ADV,1006,Theologie,,
scharf,scharf,ADV,1002,Beschreibung,,
theils,theils,ADV,1000,,,
gebieten,gebieten,NOUN,997,Disziplin ,,
verdienen,verdienen,VERB,986,,,
hermann,hermann,PROPN,984,Person,Literatur,
helfen,helfen,VERB,984,Praktik,,
gering,gering,ADV,982,Tiefe,,
selten,selten,ADV,980,Bewertung,,
wissenschaftlich,wissenschaftlich,ADV,976,Wissenschaft,,
bedeutend,bedeutend,ADV,967,Bewertung ,,
praktisch,praktisch,ADV,962,,,
ritter,ritter,PROPN,960,Typ,Narrativ,
dichten,dichten,VERB,953,Poetologie,Praktik,
verbinden,verbinden,VERB,951,Praktik,,
aufnehmen,aufnehmen,VERB,948,,,
kenntnis,kenntnis,NOUN,948,Ziel,,
schönheit,schönheit,NOUN,944,Ästhetik,,
üben,üben,VERB,941,Praktik ,,
schwert,schwert,NOUN,938,Narrativ,,
erfahren,erfahren,VERB,937,Sinnlich,Welt,
gebrauch,gebrauch,NOUN,936,,,
eignen,eignen,VERB,936,positive Bewertung,,
anfang,anfang,NOUN,932,,,
tätigkeit,tätigkeit,NOUN,932,,,
vaterland,vaterland,NOUN,930,Nation,Patriotisch,
auswahl,auswahl,NOUN,929,Praktik,,
vortragen,vortragen,VERB,926,Praktik ,Methode ,
gründen,gründen,VERB,925,,,
schriftlich,schriftlich,ADV,922,Praktik,,
erinnern,erinnern,VERB,922,Idealismus,,
ruhen,ruhen,VERB,921,,,
fahren,fahren,VERB,921,,,
kreis,kreis,NOUN,920,,,
not,not,X,919,Narrativ,,
formen,formen,NOUN,916,Poetologie,,
wenden,wenden,VERB,914,,,
gebildet,gebildet,VERB,912,Pädagogik,,
sänger,sänger,NOUN,912,Poetologie,Typ,
außer,außer,ADP,911,,,
auftreten,auftreten,VERB,909,Poetologie,,
mädchen,mädchen,NOUN,908,Gender ,Femd,
versuchen,versuchen,VERB,908,,,
blick,blick,NOUN,901,Ästhetik,Körper,
verbindung,verbindung,NOUN,899,,,
erfahrung,erfahrung,NOUN,898,Ästhetik,Welt,
französisch,französisch,ADV,895,Nation,Sprache,
richten,richten,VERB,892,,,
richtung,richtung,NOUN,891,,,
ansicht,ansicht,NOUN,887,,,
schriftsteller,schriftsteller,NOUN,885,Poetologie,Typ,
auffassung,auffassung,NOUN,884,Praktik,Idealismus,
gestalt,gestalt,NOUN,877,Beschreibung,,
gelegenheit,gelegenheit,NOUN,867,,,
entstehen,entstehen,VERB,865,,,
streben,streben,VERB,862,Disziplin,,
bruder,bruder,NOUN,862,Familie,Typ,
besitzen,besitzen,VERB,855,Idealismus,,
ideal,ideal,ADV,855,Idealismus,Moral ,
schilderung,schilderung,NOUN,853,Poetologie,Praktik,
sammlung,sammlung,NOUN,853,Lehrmedien,,
abhandlung,abhandlung,NOUN,852,Poetologie,Gattung,
gelehrt,gelehrt,VERB,846,positive Bewertung,,
deutlich,deutlich,ADV,846,Beschreibung,,
element,element,NOUN,845,Medium,,
erfüllen,erfüllen,VERB,843,,,
jungfrau,jungfrau,NOUN,841,Gender,Fem,
höhe,höhe,NOUN,841,Höhe,,
willen,willen,ADP,840,Idealismus,,
stolz,stolz,ADV,838,Narrativ,Bewertung,
karl,karl,PROPN,835,Person,Literatur,Historisch 
frisch,frisch,ADV,834,Höhe ,,
forderung,forderung,NOUN,832,,,
geeignet,geeignet,ADV,831,positive Bewertung,,
geschichtlich,geschichtlich,ADV,828,Geschichte ,,
entwickeln,entwickeln,VERB,828,,,
betreffen,betreffen,VERB,827,,,
trotz,trotz,ADP,827,Logik,,
beweisen,beweisen,VERB,825,Logik ,,
punkt,punkt,NOUN,824,Sprache,,
rücksicht,rücksicht,NOUN,820,,,
gestalten,gestalten,VERB,819,Poetologie,Praktik,
herrlich,herrlich,ADV,818,positive Bewertung,,
unterschied,unterschied,NOUN,817,,,
iphigenie,iphigenie,NOUN,816,Person,Literatur ,
ursprünglich,ursprünglich,ADV,814,Zeit,Sprache,
klopstock,klopstock,NOUN,812,Person,Schriftsteller,
fürst,fürst,NOUN,811,,,
vergleichen,vergleichen,VERB,810,Methode,Praktik ,
brechen,brechen,VERB,808,,,
reihe,reihe,NOUN,807,,,
ver,ver,PROPN,804,,,
bewegung,bewegung,NOUN,800,,,
grad,grad,ADV,800,,,
unterscheiden,unterscheiden,VERB,799,Praktik ,,
religiös,religiös,ADV,798,Theologie,,
un,un,X,797,,,
bedenken,bedenken,NOUN,795,,,
vorhanden,vorhanden,ADV,792,,,
einleitung,einleitung,NOUN,791,Poetologie,,
fehler,fehler,NOUN,789,Disziplin,negative Bewertung,
ansehen,ansehen,VERB,786,Sinnlich,Praktik,
vorliegend,vorliegend,ADV,785,,,
prosa,prosa,PROPN,785,Gattung ,,
treffen,treffen,VERB,782,,,
stellung,stellung,NOUN,779,,,
vergessen,vergessen,VERB,778,Idealismus,,
mündlich,mündlich,ADV,778,Praktik,,
tochter,tochter,NOUN,778,Gender,Form,
meister,meister,NOUN,778,Höhe,Typ,
wählen,wählen,VERB,772,,,
empfehlen,empfehlen,VERB,769,,,
angeben,angeben,VERB,766,,,
göthes,göthes,PROPN,765,,,
sitzen,sitzen,VERB,763,,,
beschränken,beschränken,VERB,763,,,
stil,stil,NOUN,762,Poetologie,Sprache,
studium,studium,NOUN,761,Praktik,,
haupt,haupt,NOUN,761,Beschreibung,,
sorgen,sorgen,VERB,760,,,
boden,boden,NOUN,759,,,
empfinden,empfinden,VERB,759,Emotion ,,
leiden,leiden,VERB,755,Negation,,
augenblick,augenblick,NOUN,751,Zeit,,
bewegen,bewegen,VERB,749,,,
zeichen,zeichen,NOUN,748,Poetologie,,
lust,lust,NOUN,743,positive Bewertung,,
besprechung,besprechung,NOUN,743,Praktik,,
nation,nation,NOUN,742,Nation,,
sterben,sterben,VERB,741,Negation,,
gewalt,gewalt,NOUN,738,Agonalität,,
antik,antik,NOUN,736,Zeit,Klassik,
sprachlich,sprachlich,ADV,732,Sprache ,,
verlassen,verlassen,VERB,731,,,
entsprechen,entsprechen,VERB,730,,,
ruhig,ruhig,ADV,728,Beschreibung,,
vorzugsweise,vorzugsweise,ADV,727,,,
sonne,sonne,NOUN,726,Welt,,
abschneiden,abschneiden,VERB,725,,,
meer,meer,NOUN,724,Welt,,
schicksal,schicksal,NOUN,721,Disziplin,,
erläuterung,erläuterung,NOUN,721,Praktik,Methode ,
gefahr,gefahr,NOUN,721,Agonalität,,
raum,raum,NOUN,719,Raum,,
stimmung,stimmung,NOUN,719,Emotion ,,
en,en,X,717,,,
angemessen,angemessen,ADV,713,positive Bewertung,,
gelingen,gelingen,VERB,712,,,
quelle,qülle,PROPN,710,Ästhetik,Wörtlich,Provenienz
mächtig,mächtig,ADV,710,Höhe,Bewertung,
philosophisch,philosophisch,ADV,709,Philsophie,,
ergreifen,ergreifen,VERB,708,Ästhetik,Wirkung,
wallenstein,wallenstein,PROPN,707,Person,Literatur,Historisch 
meinung,meinung,NOUN,707,Praktik,Bewertung,
eng,eng,ADV,707,Beschreibung,,
eintreten,eintreten,VERB,706,,,
leisten,leisten,VERB,706,,,
absicht,absicht,NOUN,705,,,
scene,scene,NOUN,705,Poetologie,Unterteilung,
regel,regel,NOUN,705,Disziplin,,
genügen,genügen,VERB,704,,,
christlich,christlich,ADV,704,Theologie,,
vollkommen,vollkommen,ADV,703,Ästhetik,positive Bewertung ,
annehmen,annehmen,VERB,703,,,
graf,graf,PROPN,703,Typ,Narrativ,
verfahren,verfahren,NOUN,702,Praktik,,
dringen,dringen,VERB,700,,,
ballade,ballade,NOUN,697,Gattung ,Lyrik,
pädagogisch,pädagogisch,ADV,691,Pädagogik,,
vertrauen,vertraün,NOUN,690,positive Bewertung,,
geschlecht,geschlecht,NOUN,687,Gender,,
erziehung,erziehung,NOUN,687,Pädagogik,Disziplin,
brief,brief,NOUN,684,Gattung ,,
friedrich,friedrich,PROPN,680,Person,Literatur,Historisch 
folge,folge,VERB,678,,,
gesichtspunkt,gesichtspunkt,VERB,677,,,
benutzen,benutzen,VERB,677,,,
regeln,regeln,VERB,677,Disziplin,,
übersetzung,übersetzung,NOUN,675,Nation,Poetologie,
gethan,gethan,VERB,675,,,
kräftig,kräftig,ADV,673,positive Bewertung,,
schauen,schaün,PROPN,673,,,
logisch,logisch,ADV,673,Beschreibung,Logik,
gegenwart,gegenwart,NOUN,673,Zeit,,
anspruch,anspruch,NOUN,671,,,
lieber,lieber,ADV,669,Beschreibung,,
falsch,falsch,ADV,665,negative Bewertung,,
vorzüglich,vorzüglich,ADV,664,positive Bewertung,,
episch,episch,ADV,664,Beschreibung,Poetologie,Gattung
sinnlich,sinnlich,ADV,663,Beschreibung,Ästhetik,
nibelungenlied,nibelungenlied,NOUN,660,Literatur ,,
nächst,nächst,ADV,659,,,
gebiet,gebiet,NOUN,658,Raum,,
modern,modern,ADV,657,Beschreibung,Ästhetik,
frieden,frieden,NOUN,656,Politik,,
kopf,kopf,NOUN,656,Körper,,
schlecht,schlecht,ADV,655,negative Bewertung,,
schwierigkeit,schwierigkeit,NOUN,655,,,
verwenden,verwenden,VERB,652,,,
gen,gen,ADP,651,,,
hart,hart,ADV,650,,,
behaupten,behaupten,VERB,649,,,
dunkel,dunkel,ADV,649,Tiefe,Beschreibung ,
einheit,einheit,NOUN,648,Idealismus,,
unterrichten,unterrichten,VERB,648,Schule,Praktik,
lieb,lieb,ADV,647,postive Bewertung,,
moment,moment,NOUN,647,,,
gewaltig,gewaltig,ADV,646,positive Bewertung,Höhe,
leiten,leiten,VERB,645,,,
eindruck,eindruck,NOUN,642,Ästhetik,Körper,
periode,periode,NOUN,641,Gattung ,,
vortrag,vortrag,NOUN,641,Methode,Praktik,
erfolg,erfolg,NOUN,640,positive Bewertung,,
hoffnung,hoffnung,NOUN,640,Theologie,,
innig,innig,ADV,639,Idealismus,,
greifen,greifen,VERB,637,,,
gelangen,gelangen,VERB,636,,,
klingen,klingen,VERB,636,,,
bestimmung,bestimmung,NOUN,636,Disziplin,,
grimm,grimm,PROPN,635,Person,Schriftsteller,
grundsatz,grundsatz,NOUN,634,,,
religion,religion,NOUN,631,Theologie,,
würdig,würdig,ADV,630,positive Bewertung,,
königs,königs,PROPN,630,Narrativ,,
grundlage,grundlage,NOUN,629,,,
zeile,zeile,NOUN,628,Poetologie,Unterteilung,
lyrisch,lyrisch,ADV,628,Beschreibung,Poetologie,Gattung
tasso,tasso,PRON,628,Person,Literatur,Historisch 
grieche,grieche,ADJ,627,Klassik,,
werfen,werfen,VERB,627,,,
leute,leute,NOUN,627,,,
erwarten,erwarten,VERB,626,,,
abschnitt,abschnitt,NOUN,626,Unterteilung ,Poetologie,
krieg,krieg,NOUN,625,Negation,Alterität,
rasch,rasch,ADV,625,,,
schildern,schildern,VERB,625,Praktik,,
hervorheben,hervorheben,VERB,624,,,
mangel,mangel,NOUN,618,negative Bewertung,,
hagen,hagen,PROPN,616,Person,Literatur,
luther,luther,PROPN,614,Person,Historisch,
literaturgeschichte,literaturgeschichte,VERB,614,Geschichte ,,
schmerz,schmerz,NOUN,612,negative Bewertung,,
messen,messen,VERB,612,,,
genießen,genießen,VERB,611,,,
weib,weib,NOUN,611,Typ,Gender,Fem
fromm,fromm,ADV,610,Theologie,Beschreibung ,
entscheiden,entscheiden,VERB,604,,,
baum,baum,NOUN,603,,,
prima,prima,ADV,603,Schule,,
frucht,frucht,NOUN,602,,,
politisch,politisch,ADV,602,Politik,,
bürger,bürger,NOUN,601,Typ,,
ausführlich,ausführlich,ADV,601,Beschreibung,Methode ,
gegenwärtig,gegenwärtig,ADV,600,,,
tot,tot,ADV,599,Negation,,
gemüth,gemüth,NOUN,597,,,
aufmerksam,aufmerksam,ADV,596,Praktik,,
minder,minder,ADV,596,negative Bewertung,,
anwendung,anwendung,NOUN,596,Praktik,,
vergleichung,vergleichung,NOUN,594,Methode,Praktik,
zweifel,zweifel,NOUN,594,negative Bewertung,,
schuld,schuld,NOUN,593,negative Bewertung,,
siegfried,siegfried,PROPN,588,Person,Literatur,
kühn,kühn,ADV,587,Person,Bewertung,
maria,maria,PROPN,586,Person,Literatur,Historisch 
wunsch,wunsch,NOUN,586,,,
wunderbar,wunderbar,ADV,585,positive Bewertung,,
dienst,dienst,NOUN,584,Disziplin,,
absehen,absehen,VERB,584,,,
menge,menge,NOUN,581,,,
anwenden,anwenden,VERB,580,,,
vielfach,vielfach,ADV,580,,,
volkslied,volkslied,NOUN,580,Gattung ,Lyrik,
herder,herder,PROPN,579,Person,Schriftsteller,
eltern,eltern,NOUN,579,Alter,Typ,Familie
dichterisch,dichterisch,ADV,579,Beschreibung,Poetologie,
ausführung,ausführung,NOUN,578,Praktik,,
ordnung,ordnung,NOUN,577,Disziplin,,
sitte,sitte,NOUN,576,Disziplin,Moral ,
gewähren,gewähren,VERB,576,,,
echt,echt,ADV,575,Höhe,Beschreibung ,
beziehen,beziehen,VERB,574,,,
wasser,wasser,NOUN,573,Welt,Narrativ,
blicken,blicken,VERB,573,Sinnlich,Ästhetik,
geliebt,geliebt,VERB,569,,,
beschreibung,beschreibung,NOUN,569,Praktik,,
staat,staat,NOUN,569,Politik,,
dorothea,dorothea,X,568,Literatur ,Person ,
erwähnen,erwähnen,VERB,567,,,
schiff,schiff,NOUN,567,,,
göttlich,göttlich,ADV,566,Theologie,Beschreibung ,
breit,breit,ADV,566,,,
erwerben,erwerben,VERB,566,,,
buchen,buchen,VERB,566,,,
andeuten,andeuten,VERB,565,,,
standpunkt,standpunkt,NOUN,565,,,
einsicht,einsicht,NOUN,563,Idealismus,,
kämpfen,kämpfen,VERB,562,Agonalität,,
material,material,NOUN,562,Lehrmedien,,
bedeuten,bedeuten,VERB,561,,,
hinsicht,hinsicht,NOUN,561,,,
fülle,fülle,VERB,560,,,
aufmerksamkeit,aufmerksamkeit,NOUN,560,Disziplin,,
gesund,gesund,ADV,559,positive Bewertung,,
menschheit,menschheit,NOUN,558,Anthropologie,,
hoffen,hoffen,VERB,558,,,
vorzug,vorzug,NOUN,557,,,
wagen,wagen,VERB,554,,,
wirklichkeit,wirklichkeit,NOUN,550,Welt,,
schwach,schwach,ADV,550,negative Bewertung,,
jugendlich,jugendlich,ADV,550,Alter,Beschreibung ,
zustand,zustand,NOUN,549,,,
trefflich,trefflich,ADV,548,positive Bewertung,,
tugend,tugend,NOUN,548,Disziplin,Moral ,
blut,blut,NOUN,545,Körper,Narrativ,
verhalten,verhalten,VERB,545,,,
homer,homer,PROPN,544,Person,Schriftsteller,
hinaus,hinaus,ADP,544,Raum,,
offenbar,offenbar,ADV,543,,,
gelten,gelten,VERB,541,,,
prosaisch,prosaisch,ADV,540,Beschreibung,Poetologie,Gattung
fuß,fuß,PROPN,540,,,
wecken,wecken,VERB,539,,,
geschick,geschick,PROPN,537,positive Bewertung,,
wachsen,wachsen,VERB,536,,,
brust,brust,NOUN,535,Körper,,
ausgabe,ausgabe,NOUN,534,,,
pflicht,pflicht,NOUN,532,Disziplin,Moral ,
sogenannt,sogenannt,VERB,532,,,
eigenthümlich,eigenthümlich,ADV,529,Bewertung,,
fällen,fällen,VERB,525,,,
kirche,kirche,NOUN,525,Theologie,,
hinweisen,hinweisen,VERB,525,,,
lösen,lösen,VERB,524,,,
einfluß,einfluß,NOUN,521,,,
empfangen,empfangen,VERB,521,,,
schritt,schritt,NOUN,520,,,
literarisch,literarisch,ADV,519,Beschreibung,Poetologie,
ausbildung,ausbildung,NOUN,518,Schule,Institution,
umstand,umstand,NOUN,518,,,
passend,passend,ADV,518,positive Bewertung,,
hängen,hängen,VERB,517,,,
plan,plan,NOUN,517,,,
auflage,auflage,NOUN,513,,,
walther,walther,PROPN,513,Person,Literatur,
proben,proben,VERB,513,Praxis,,
familie,familie,NOUN,512,Typ,Haus,
moralisch,moralisch,ADV,511,Moral,Beschreibung ,
tragödie,tragödie,NOUN,511,Gatung,Poetologie,
reichtum,reichtum,NOUN,510,,,
geschmack,geschmack,NOUN,510,Ästhetik,postive Bewertung,
wendung,wendung,NOUN,510,,,
vollendet,vollendet,VERB,509,,,
